龙舟（打一歌曲名)	中国船
尽收眼底（打一成语）	一览无遗
尖尖长嘴，细细小腿。拖条大尾，疑神疑鬼。（打一动物名	狐狸
尖（打《论语》一句）	小大由之
少年不识愁滋味（打《红楼梦》人名一)	焦大
小时像逗号，在水中玩耍。长大跳得高，是捉虫冠军。（打一动物名	青蛙
小小船，白布篷。头也红，桨也红。（打一动物名	鹅
小小狗，手里走。走一走，咬一口。（打一日常用品	剪刀
小姑娘,猜一个字 	妙 
小姑娘，夜纳凉。带灯笼，闪闪亮。（打一动物名	萤火虫
小人禁用（打一中草药名)	使君子
将言辞说上（打《前出师表》一句）	欲报之于陛下
将在谋不在勇（打《红楼梦》人名一)	智能
对着你的脸，按住你的心。请你通知主人翁，快快开门接客人。（打一日常用品	门铃
对方进了一球（打一字）	哼
对影成三人（打一字）	奏
寒凝大地发春华（打一中草药名)	冰凉花
寒从夜半起（打《红楼梦》人名一)	冷子兴
宿鸟恋枝头（打一字）	术
家母同样眼八只,猜四个字 	货真价实 
家书,猜一字 	响 
家乡话,猜一字 	响 
家中兄长多,一门共八个,猜一字 	阅 
室内外大清扫（打《三国演义》人名一)	普净
客人初至（打辽宁一地名）	新宾
宝岛姑娘,猜一字 	始 
宝岛姑娘,猜一个字 	始 
宗保不舍穆桂英,猜四个字 	巧言令色 
宋字去了盖,不做"木"字猜 猜一个字 	李 
安得后羿弓（打江苏一地名）	射阳
安居故里（打湖南一地名）	宁乡
守门狗,猜一字 	戾 
守株待兔（打一字)	柳
孩子丢了（打一字）	亥
学生学字,猜一字 	救 
学富五车（打《水浒传》人物绰号一)	智多星
学子远去,又见归来,猜一字 	觉 
学子远去，又见归来       	觉
孤灯如豆（打《水浒传》人物绰号一)	独火星
孤峦叠嶂层云散（打一字）	崛
存心不善,有口难言,猜一字 	亚
存心不善,有口难言,猜一字 	亚 
存心不善，有口难言       	亚 
字谜:群雁追舟—巡2110 ,猜一个字 	言 
孔明定下空城计,苏秦能说六国平,六郎要斩亲生子,宗保不舍穆桂英,猜四个字 	巧言令色 
孔子登山,猜一字 	岳 
子路欲谢之（打《前出师表》一句）	由是感激
子规啼尽杜鹃红（打一中草药名)	血竭花
子游（打《聊斋志异》一篇名)	鼠戏
子时报晓（打一电影片名)	半夜鸡叫
子仪出征讨禄山（打海南一地名）	定安
婚丧事（打一成语）	悲喜交加
娘子娘子，身似盒子。麒麟剪刀，八个钗子。（打一动物名	蟹
娘儿俩(打一字) 	姆
娘儿俩            	姆
娄阿鼠问卦（打一成语）	做贼心虚
威风扫地（打一中草药名)	虎力散
姑娘真辛苦，晚上还织布。天色蒙蒙亮，机声才停住。（打一动物名	纺织娘
妇女节前夕（打一中草药名)	三七
如箭在弦,猜一字 	引 
好鸟无心恋故林,吃罢昆虫乘风鸣,八千里路随口到,鹧鸪飞去十里亭 ,猜四个字 	鸾凤和鸣 
好鸟无心恋故林,吃罢昆虫乘风鸣,八千里路随口到,鹧鸪飞去十里亭 ,猜四个字	鸾凤和鸣 
好鸟无心恋故林,吃罢昆虫乘风鸣,八千里路随口到, 	
好读书（打一字）	敞
好读书（打《论语》一句）	学而不厌
好歹分到房一套（打《前出师表》一句）	优劣得所也
女孩男孩一个样（打《红楼梦》人名一)	平儿
女十八兮叹分离（打《红楼梦》人名一)	杏奴
奥运射击冠军（打《水浒传》人物绰号一)	金枪手
头顶两只角，身背一只镬。只怕晒太阳，不怕大雨落。（打一动物名	蜗牛
头胖脚掌大，像个大傻瓜。四肢短又粗，爱穿黑大褂。（打一动物名	熊
头楚尾,猜一字 	足 
头插花翎翅，身穿彩旗袍。终日到处游，只知乐逍遥。（打一动物名	蝴蝶
头戴周瑜帽，身穿张飞袍。自称孙伯符，脾气像马超。（打一动物名	蟋蟀
头寸不足,猜一字 	钦 
头大尾细，全身生疥。拿起索子，跟你讲价。（打一日常用品	秤
头前两把刀，钻地害禾苗。捕来烘成干，一味利尿药。（打一动物名	蝼蛄
失其心也,猜一个字 	共 
夫妻量刑不同（打《前出师表》一句）	使内外异法也
夫妻同戴光荣花（打《红楼梦》人名一)	双红
夫人何处去,猜一字 	二 
太阳西边下,月儿东边挂,猜一字 	明 
太阳王 ,猜一个字 	旺 
太阳灶（打一成语）	热火朝天
太阳挂在树顶上,猜一个字 	果 
太太,猜一字 	夫 
天际孤帆愁别离（打一字）	穗
天涯海角（打一歌曲名)	在那遥远的地方
天寒音讯稀（打《红楼梦》人名一)	雪雁
天女散花（打一新兴词语)	高消费
天女散花（打一中草药名)	降香
天天,猜一个字 	晦 
天各一方话鼠（打一画家名)	吴道子
天不绝曹（打《三国演义》人名一)	魏延
天上无二,合去一口,家家都有,猜一字 	人 
大雨落在横山上,猜一字 	雪 
大火烧到耳朵边           	耿
大河没水小河干           	哥
大楼皆是鸳鸯楼（打《滕王阁序》一句）	洪都新府
大有头中无心小全身       	京
大有头,中无心,小全身 ,猜一个字 	京 
大开绿灯（打一中草药名)	路路通
大人挑小人 ,猜一个字 	夹 
大丈夫不得出头,猜一个字 	天 
夜半无人私语时（打一文学名词)	黑色幽默小说
多看无滋味（打一成语）	屡见不鲜
多兄长（打一动物名	八哥
多一半,猜一字 	夕 
外麻里光，住在闺房。姑娘怕戳疼，拿它来抵挡。（打一日常用品	顶针
塞鸿何因又南飞（打《滕王阁序》一句）	雁阵惊寒
城府极深（打《水浒传》人物绰号一)	共同反对使用外挂，打击外挂，从你我做起。
垃圾箱（打一成语）	藏垢纳污
垂涎三尺（打一文学名词)	顺口溜
坚持到底（打《史记》一句）	虽死不易
坚决煞住吃喝风（打《滕王阁序》一句）	盛筵难再
坐定左右无人,猜一字 	土 
在地愿为连理枝（打《孙子兵法》一句）	故合之以交
土上有竹林,土下一寸金,猜一个字 	等 
圆寂（打一成语）	坐以待毙
固若金汤（打河北一地名）	保定
回答者： 魔法师耍宝 - 一级    2009-11-13 20:35 	
回答者： 剑客的书童 - 一级    2009-11-13 20:04 	
回答者： 1998赵 - 一级    2009-11-13 19:10 	
回归洛阳（打《前出师表》一句）	还于旧都
四面都是山,山山皆相连 ,猜一个字 	田 
四面屯粮（打《三国演义》人名一)	周仓
四通八达（打一成语）	头头是道
四知美誉留人世（打《史记》一句）	其行廉
四柱八栏杆，住着懒惰汉。鼻子团团转，尾巴打个圈。（打一动物名	猪
四方面军（打一歌曲名)	东西南北兵
四方一条心（打一字）	愣
四撇一弯钩，虫在肚中留  	蜀
四川的狗,猜一个字 	独 
四山纵横 ,两日稠缪 ,富由他起脚 ,累是他领头 	田 
四山纵横 , 两日稠缪 , 富由他起脚 , 累是他领头,猜一个字 	田 
四个晚上（打一字）	罗
嘴（打一字）	唧
唐老鸭退役 ,猜一个字 	鸟 
唐太宗登基（打《红楼梦》人名一)	李贵
唐太宗作帝范篇（打《三国演义》人名一)	李典
哭声直上干云霄（打《史记》一句）	楚人之多也
哥哥相亲（打《水浒传》人名一)	顾大嫂
哑巴打手势（打一成语）	不言而喻
和局（打一字）	抨
和尚拜佛 ,猜一个字 	拿 
咄（打一成语）	脱口而出
周瑜死因（打《孙子兵法》一句）	将不胜其忿
呀（打一成语）	唇齿相依
吾妻,猜一个字 	肉(内人) 
吴头楚尾,猜一字 	足 
向阳坡上桃花艳（打广西一地名）	南丹
后继无人（打一中草药名)	续断
后村闺中听风声（打一字）	封
同光阴赛跑（打一新兴词语)	与时俱进
司马中原,猜一个字 	魂(说鬼) 
叶飘时零客人来（打新疆一地名）	喀什
叶公（打一古动物名)	恐龙
可烧而走也（打《前出师表》一句）	然后施行
叫猫不抓鼠，像熊爱吃竹。摇摆惹人爱，是猫还是熊？（打一动物名	熊猫
只是近黄昏 ,猜一个字 	酱 
另有变动（打一字）	加
句句扣心弦（打《四书》一句）	言必有中
古时候的月亮,猜一字 	胡 
古文观止（打一字）	故
古城姐妹（打一中草药名)	金银花
古代文化（打《三国演义》人名一)	史迹
口道恒河沙复沙（打《史记》一句）	不可胜数
口比肚子大，给啥就吃啥。它吃为了你，你吃端着它。（打一日常用品	碗
叔伯昆仲（打陕西一地名）	咸阳
发扬大协作精神（打青海一地名）	互助
反比,猜一个字 	北 
双手赞成（打一成语）	多此一举
双双无突破（打吉林一地名）	四平
双兔傍地走（打《史记》一句）	则雌雄之所，在未可知也
又白又软，罩住人脸。守住关口，防止传染。（打一日常用品	口罩
又到鸡西市（打黑龙江一地名）	双城
参观航空（打《三国演义》人名一)	张飞
去了上半截,有了下半截,比成两半截,又无下半截 ,猜一个字 	熊 
去了上半截,有了下半截,比成两半截,又无下半截 	熊 
去一人还有一口，去一口还有一人。	合
去一人还有一口，去一口还有一人	合
厩（打一字）	驴
卧倒（打一成语）	五体投地
南人不复反矣（打四川一地名）	泸定
单方告别（打一成语）	一面之词
单刀赴会（打《水浒传》人名一)	关胜
单人床（打一字）	庥
华而不实（打一植物名	无花果
华夏英姿（打一新兴词语)	中国特色
华夏大地沧桑史（打台湾一地名）	中坜
半耕半读（打一字）	讲
半真半假,猜一个字 	值 
半推半就,猜一字 	掠 
半导体（打一字）	付
半出半进,猜一字 	崔 
半个西瓜样，口朝上面搁。上头不怕水，下头不怕火。（打一日常用品	锅
半个月亮,猜一个字 	胖 
半个人,猜一个字 	伴 
千金散尽还复来（打《史记》一句）	用而不匮
千里通电话（打一成语）	遥相呼应
千里相思一撇消."  	十
千里相会见真心（打台湾一地名）	三重
千里来慰问（打黑龙江一地名）	抚远
千里姻缘一线牵 ,猜一个字 	重 
千言万语,猜一字 	够 
千街万巷没堵塞（打青海一地名）	大通
千古结同心        	恬
十月十日(武昌起义),猜一字 	朝 
十月十日,猜一个字 	萌 
十日画一水（打一字）	洵
十字架下三个人,猜一个字 	来 
十字对十字,太阳对月亮,猜一个字 	朝 
十八乘十六（校） 	
十元买早餐,八元买豆干 ,猜一个字 	干 
十人九死焉（打一中草药名)	独活
十五天 ,猜一个字 	胖 
十五人,猜一字 	伞 
十二点 ,猜一个字 	斗 
十个哥哥 ,猜一个字 	克 
十三点 ,猜一个字 	汁 
十一个读书人 ,猜一个字 	仕 
十（打一成语）	纵横交错
区区小事竟当真（打一电影片名)	鸡毛信
北行竟迷途（打《四书》一句）	上失其道
北平解放之后（打四川一地名）	成都
化妆学（打一成语）	谈何容易
包头界首（打一字）	甸
勿上当（打一新兴词语)	非典
加的结果乃能大（打新疆一地名）	和硕
加减乘除少一点           	坟
加减乘除（打一文学名词)	构成主义
前面来只船，舵手在上边。来时下小雨，走后路已干。（打一日常用品	熨斗
前藏安家，怡然开心（打天津一地名）	芦台
前不着村，后不着店（打《孙子兵法》一句）	行无人之地也
到处碰壁（打《论语》一句）	不得其门而入
到了长城放声唱（打一歌曲名)	好汉歌
判决无罪,猜一个字 	皓
判决无罪,猜一个字 	皓 
判（打一成语）	一刀两断
初一（打一成语）	日新月异
刚刚平静（打湖南一地名）	新宁
刘邦登基诏书（打四川一地名）	宣汉
刘关张结义遗址（打台湾一地名）	桃园
分开不用刀;       	八
分床不分家（打浙江一地名）	桐庐
分兵出发（打一中草药名)	行军散
刃（打一字）	召
刀出鞘,猜一字 	力 
出自幽谷,迁於乔木,猜一个字 	呆 
出一半有何不可,猜一字 	仙 
凤头虎尾（打一字）	几
准点到西宁（打江苏一地名）	淮安
决心扎根边疆（打一中草药名)	远志
冲着你打（打内蒙古一地名）	和林格尔
冰（打一字）	涸
冬初秋末（打一字）	八
农产品（打一成语）	土生土长
写下面（打一字）	与
再三谦让（打《三国演义》人名一)	陆逊
再三让贤（打《水浒传》人名一)	陆谦
再（打一字）	变
内里有人（打一字）	肉
内秀（打一新兴词语)	心灵美
养猪专业户（打一字)	阂
兵家必争之地（打香港一地名）	旺角站
关帝庙（打一字）	扇
共同走江湖（打山西一地名）	洪洞
兰香幽谷无人问（打《红楼梦》人名一)	花自芳
六王毕，四海一。（打《红楼梦》人名一） 秦邦业	
六十不足,八十有余,猜一字 	平 
公而忘私,猜一字 	八 
公私仓廪皆丰实（打海南一地名）	屯昌
公用毛巾（打一成语）	面面俱到
公开赞助（打湖北一地名）	襄阳
公安人员的任务（打《三国演义》人名一)	管宁
八骏日行三万里（打《三国演义》人名一)	马良
八戒过火焰山（打一菜肴名)	红烧猪蹄
八戒娶媳妇（打一影视剧名)	猪的喜剧
八十八（打一成语）	入木三分
八十八 ,猜一个字 	米 
八兄弟同赏月,猜一个字 	脱 
八一勋章（打辽宁一地名）	彰武
全面整顿（打云南一地名）	大理
全面开荒（打一成语）	不留余地
全民皆兵（打《孙子兵法》一句）	齐之以武
入门无犬吠（打一字）	问
兔年初春色刚浓（打一作家名)	柳青
兔子请老虎（打一成语）	寅吃卯粮
兔唇（打一京剧名)	三岔口
兔儿头上戴顶帽，满腹苦水无处申   	冤
光杆司令（打《孙子兵法》一句）	将不重也
光启族人大团圆（打上海一地名）	徐家汇
先收集然后整理（打河南一地名）	焦作
先天下之忧而忧（打《三国演义》人名一)	甘后
兄有债,猜一字 	歌 
兄有债,猜一字 	歌 兄弟姐妹 
兄有债,猜一字 	歌 
兄弟姐妹,猜一字 	捉 
兄弟七八千，住在屋檐边。日日做浆卖，浆汁更值钱。（打一动物名	蜂
兄弟（打一成语）	数一数二
元前明后（打《水浒传》人名一)	宋清
儿行母忧（打一中草药名)	相思子
儿童节发假（打一中草药名)	六一散
僧穿彩衣（打《水浒传》人物绰号一)	花和尚
像鱼不是鱼，终生住海里。远看是喷泉，近看像岛屿。（打一动物名	鲸
像猫不是猫，身穿皮袄花。山中称霸王，寅年它当家。（打一动物名	老虎
傻瓜 ,猜一个字 	保 
傀儡（打《孟子》一句）	为其像人而用之也
偷梁换柱（打一中草药名)	木贼
偏听偏信（打《史记》一句）	此与以耳食无异
假眼（打一成语）	目不转睛
值钱不值钱,全在这两点,猜一个字 	金 
借问酒家何处有（打《红楼梦》人名一)	探春
信徒称耶稣,猜一字 	注 
保持沉默（打一歌曲名)	什么也不说
保卫珍宝岛之战（打香港一地名）	北角
促其反正（打吉林一地名）	敦化
依然故我（打云南一地名）	个旧
依山傍水,猜一个字 	汕 
依人篱下（打一中草药名)	寄生
使女择焉（打《孟子》一句）	决汝汉
佳作已见报（打山东一地名）	文登
你打我不恼，背后有人挑。心中亮堂堂，指明路一条。（打一日常用品	灯笼
你坐我不坐，我行你不行。你睡躺得平，我睡站到明。（打一动物名	马
何需杀人灭口,猜一字 	丁 
何谓状元（打一文学名词)	第一人称
何谓五岳（打辽宁一地名）	盘山
住在黄金屋 ,猜一个字 	锯 
低头思故乡（打一中草药名)	怀熟地
但愿一识韩荆州（打《前出师表》一句）	不求闻达于诸侯
伯父隔壁没住人 ,猜一个字 	白 
伞兵（打一成语）	从天而降
会计（打一成语）	足智多谋
众说纷纭已卯年（打一食物商标)	大白兔
众芳竞艳（打《水浒传》人名一)	花荣
众（打一字）	侈
休要丢人现眼,猜一字 	相 
休得多言（打一文学名词)	歇后语
伊丽沙白,猜一字 	瑛 
以柔克刚者胜（打《孙子兵法》一句）	无勇功
仙乐（打一成语）	不同凡响
付出爱心,猜一个字 	受 
他乡遇故知（打一中草药名)	一见喜
仕绅中一人未见,邀朋友只请半边,大清斗乌云遮日,明月下更惹人怜,猜四个字 	十月十日 
仕绅中一人未见,邀朋友只请半边,大清斗乌云遮日, 	
从打工起，终于出头（打重庆一地名）	巫山
从今莫把仇人靠    	九
介胄之士（打湖北一地名）	武汉
介子推辞官退隐（打安徽一地名）	潜山
人间四月芳菲尽（打一中草药名)	春不见
人都到了 ,猜一个字 	倒 
人的品格最重要（打青海一地名）	贵德
人有他则变大,猜一个字 	一 
人无寸铁,猜一个字 	控 
人无信不立,猜一字 	言 
人我不分,猜一个字 	俄 
人微言轻（打一文学名词)	小小说
人家在何处（打《前出师表》一句）	不知所云
人在楼头空伫立（打安徽一地名）	休宁
人不在其位 ,猜一个字 	立 
亚（打一成语）	有口难言
五月既望（打一中草药名)	半夏
五日之家,外种一树,猜一个字 	梧 
五十对耳朵 ,猜一个字 	陌 
互吻,猜一字 	吕 
云破月来,猜一字 	育 
云南大旱,猜一字 	滇 
于今好运到门前（打《红楼梦》人名一)	来旺
于予与何诛（打《论语》一句）	我无言责之
二小姐 ,猜一个字 	姿 
二十四小时（打一字）	旧
二八佳人 ,猜一个字 	妙 
二兄弟,各自立 ,猜一个字 	竞 
二世朝廷扫地空（打《史记》一句）	卒亡其国
二三四五六七八九（打一成语）	缺衣少食
事事齐全说汉高（打《三国演义》人名一)	刘备
争先恐后（打一字）	急
乾燥剂 ,猜一个字 	法 
书签（打一字）	颊
九辆车,猜一个字 	轨 
九点,猜一字 	丸 
九死一生（打一中草药名)	独活
九号,猜一字 	旭 
九只鸟,猜一个字 	鸠 
九十九,猜一字 	白 
九九归一（打一中草药名)	百合
乘人不备,猜一字 	乖 
乖（打一成语）	乘人不备
乍得人（打一字）	作
久雷不雨,猜一字 	田 
久雷不雨                 	田
久旱逢甘露（打《水浒传》人物绰号一)	及时雨
久别重逢（打一中草药名)	一见喜
举重比赛（打一成语）	斤斤计较
举起鞭儿又紧缰（打新疆一地名）	策勒
主人无恙（打湖南一地名）	东安
主（打一成语）	一往无前
为虎作伥（打陕西一地名）	扶风
为天下唱（打内蒙古一地名）	呼和浩特
为储户保密（打《四书》一句）	慎言其余
为你打我，为我打你。打到你皮开，打得我出血。（打一动物名	蚊子
丹田（打一歌曲名)	红土地
丹江（打一字）	洙
丹朱（打一字）	赫
丰衣足食（打《孟子》一句）	黎民不饥不寒
丰收年,猜一字 	移 
丰收（打一字）	移
中间是火山，四边是大海。海里宝贝多，快快捞上来。（打一日常用品	火锅
中秋夜乌云密布,猜一字 	胞 
中的（打一成语）	矢无虚发
中心一点口不见,猜一个字 	卜 
中国话,猜一个字 	哗 
中国界首（打河北一地名）	玉田
中国振兴更辉煌（打上海一地名）	龙华
中华腾飞（打《水浒传》人物绰号一)	入云龙
个儿高又大，脖子似吊塔。和气又善良，从来不打架。（打一动物名	长颈鹿
严寒时节郁葱葱（打一中草药名)	冬青
两耳不闻窗外事（打一歌曲名)	惟一的思念
两眼如灯盏，一尾如只钉。半天云里过，湖面过光阴。（打一动物名	蜻蜓
两狗谈天,猜一字 	狱 
两点水,猜一字 	冰 
两点天上来（打一字）	关
两点一直,一直两点,猜一字 	慎 
两横一竖打一字（打一中草药名)	射干
两对情人互相思（打一歌曲名)	好想好想
两字相乘二十一（打一中草药名)	三七
两地相思,猜一字 	桂 
两人一般心,猜一字 	患 
两个少女（打一中草药名)	二妙散
丢盔弃甲（打一中草药名)	败酱
东洋兵,猜一个字 	晕 
东施（打一字）	妞
东南西北皆欲往（打一歌曲名)	走四方
世界冠军（打《孟子》一句）	无敌于天下
世界冠军（打《史记》一句）	威震天下
与我同行,猜一个字 	衙 
与人方便,猜一字 	更 
不许说大话（打一文化用品)	牛皮封
不许你发达（打《水浒传》人名一)	杜兴
不讲理的人,猜一字 	地 
不要走（打一字）	还
不要讲话,猜一个字 	吻 
不要和陌生人说话（打一常用词)	熟语
不考虑中间（打一成语）	瞻前顾后
不知道（打一中草药名)	生地
不知木兰是女郎（打《史记》一句）	阴阳有变
不省人事（打《孙子兵法》一句）	知天知地
不生第二胎（打一中草药名)	杜仲
不甘落后（打《水浒传》人名一)	乐进
不欢而去（打一中草药名)	失笑散
不是车            	辈
不怕火（打一字）	镇
不寻常的秀才（打《水浒传》人物绰号一)	圣手书生
下不为例（打江西一地名）	上饶
上面正差一笔，下面少去一点。	步
上下难分,猜一字 	卡 
上下四方无险情（打安徽一地名）	六安
上下合,猜一个字 	卡 
上下串通,猜一个字 	卡 
上下一体（打一字）	卡
三省吾身（打一中草药名)	防己
三点河旁落（打一字）	可
三张纸,猜一个字 	顺 
三口重叠,莫把品字猜,猜一个字 	目
三口重叠,莫把品字猜,猜一个字 	目 
三十六载共患难（打贵州一地名）	桐梓
三军过后尽开颜（打《史记》一句）	卒相与欢
三八多面手（打《红楼梦》人名一)	巧姐
三人骑头无角牛    	奉
三人两口一匹马,猜一字 	验 
三九时节（打一中草药名)	天冬
三丫头（打一字）	羊
万象更新百花红（打一中草药名)	回春丹
万紫千红总是春（打《史记》一句）	当时则荣
万物之灵,猜一个字 	他(人也) 
七十二小时,猜一个字 	晶 
七人头上长了草,猜一字 	花 
七人八只眼,猜一个字 	货 
七个人有八只眼,十人亦有八只眼,西洋人也眼八只,家母同样眼八只,猜四个字 	货真价实 
一颗小红枣，一屋盛不了。只要一开门，枣儿往外跑。（打一日常用品	油灯
一队胡子兵，当了牙医生。早晚来巡逻，打扫真干净。（打一日常用品	牙刷
一钩残月带三星    	心
一边是红,一边是绿,一边喜风,一边喜雨,猜一个字 	秋 
一边是红,一边是绿,一边喜风,一边喜雨 	秋 
一边是水,一边是山,猜一个字 	汕 
一路无事故（打《水浒传》人名一)	安道全
一起作东家 （打北京一地名）	同合庄
一表非凡（打一文学名词)	神话
一藤连万家，家家挂只瓜。瓜儿长不大，夜夜会开花。（打一日常用品	电灯
一群黄鸡娘，生蛋进船舱。烤后一声响，个个大过娘。（打一日常用品	爆米花
一索功高缚楚王（打《史记》一句）	信而不疑
一直真心相对（打一字）	非
一百减一 ,猜一个字 	白 
一生离乱（打《水浒传》人名一)	牛二
一物三口，有腿无手。谁要没它，难见亲友。（打一日常用品	裤子
一点一点得知（打一字）	短
一点一横长,一撇到南洋,南洋有个人,只有一寸长,猜一个字 	府 
一点一横长,一撇到南洋,南洋有个人,只有一寸长 	府 
一江春水向东流（打一中草药名)	通大海
一棵麻，多枝丫。雨一淋，就开花。（打一日常用品	雨伞
一根木棍,吊个方箱,一把梯子,搭在中央 ,猜一个字 	面 
一根木棍,吊个方箱,一把梯子,搭在中央 	面 
一样物，花花绿。扑下台，跳上屋。（打一动物名	猫
一朝选在君王侧（打《红楼梦》人名一)	杨侍郎
一望无际（打《三国演义》人名一)	张辽
一月七日,猜一个字 	脂 
一曲高歌夕阳下    	曹
一星星，一点点。走大路，钻小洞。（打一动物名	蚂蚁
一斗米,猜一个字 	料 
一支香烟（打一文学名词)	传奇人物
一支香，地里钻。弯身走，不会断。（打一动物名	蚯蚓
一撇画了三寸长           	寿
一把刀，顺水漂。有眼睛，没眉毛。（打一动物名	鱼
一帆风顺无险阻（打青海一地名）	平安
一家有七口,种田种一亩,自己吃不够,还养一条狗 ,猜一个字 	兽 
一家有七口,种田种一亩,自己吃不够,还养一条狗 	兽 
一家十一口,猜一字 	吉 
一字十三点,难在如何点 ,猜一个字 	汁 
一大二小,猜一个字 	奈 
一夜又一夜,猜一字 	多 
一块变九块（打一成语）	四分五裂
一只黑鞋子，黑帮黑底子。挂破鞋子口，漏出白衬子。（打一日常用品	西瓜子
一只黑狗，两头开口。一头咬煤，一头咬手。（打一日常用品	火钳
一只罐，两个口。只装火，不装酒。（打一日常用品	灯笼
一只狗四个口,猜一个字 	器 
一只牛,猜一个字 	生 
一只没脚鸡，立着从不啼。吃水不吃米，客来敬个礼。（打一日常用品	茶壶
一只八宝袋，样样都能装。能装棉和纱，能装铁和钢。（打一日常用品	针线包
一口咬破衣（打一字）	哀
一口咬定,猜一字 	交 
一口咬去多半截。	名
一口吃掉牛尾巴,猜一个字 	告 
一半儿,猜一个字 	臼 
一劳永逸（打陕西一地名）	长安
一加一,猜一字 	王 
一人腰上挂把弓,猜一字 	夷
一人腰上挂把弓,猜一字 	夷 
一人腰上挂把弓    	夷
一人背张弓（打一字）	夷
一人挑两小人,猜一字 	夹 
一人在内,猜一字 	肉 
一人一张口,口下长只手,猜一字 	拿 
一人 ,猜一个字 	大 
一个礼拜 ,猜一个字 	旨 
一个人搬两个土 ,猜一个字 	佳 
一一箭穿心,猜一字 	必 
一一入史册（打一字）	更
一（打一成语）	接二连三
4个人搬个木头 ,猜一个字 	杰 
2110 ,猜一个字 	言 
《聊斋志异》（打一成语）	鬼话连篇
　金乌西坠白头看（打河南一地名）	洛阳
